Document ID,Sentence #,Word,Tag
4.66073644209156E+017,8556,Association,O
4.66073644209156E+017,8556,between,O
4.66073644209156E+017,8556,small,B-Disease
4.66073644209156E+017,8556,-,I-Disease
4.66073644209156E+017,8556,vessel,I-Disease
4.66073644209156E+017,8556,disease,I-Disease
4.66073644209156E+017,8556,",",O
4.66073644209156E+017,8556,Alzheimer,B-Disease
4.66073644209156E+017,8556,pathology,O
4.66073644209156E+017,8556,studied,O
4.66073644209156E+017,8556,:,O
4.66073644209156E+017,8556,Cerebral,B-Disease
4.66073644209156E+017,8556,small,I-Disease
4.66073644209156E+017,8556,-,I-Disease
4.66073644209156E+017,8556,vessel,I-Disease
4.66073644209156E+017,8556,disease,I-Disease
4.66073644209156E+017,8556,and,O
4.66073644209156E+017,8556,Alzhe,B-Disease
4.66073644209156E+017,8556,0,O
4.66073644209156E+017,8556,0,O
4.66073644209156E+017,8556,0,O
4.66073644209156E+017,8556,http,O
4.66073644209156E+017,8556,:,O
4.66073644209156E+017,8556,/,O
4.66073644209156E+017,8556,/,O
4.66073644209156E+017,8556,t,O
4.66073644209156E+017,8556,0,O
4.66073644209156E+017,8556,co,O
4.66073644209156E+017,8556,/,O
4.66073644209156E+017,8556,9YHxLDURew,O
4.66091939730031E+017,8557,I,O
4.66091939730031E+017,8557,don,O
4.66091939730031E+017,8557,',O
4.66091939730031E+017,8557,t,O
4.66091939730031E+017,8557,wanna,O
4.66091939730031E+017,8557,drown,O
4.66091939730031E+017,8557,in,O
4.66091939730031E+017,8557,the,O
4.66091939730031E+017,8557,rain,O
4.66091939730031E+017,8557,0,O
4.66091939730031E+017,8557,I,O
4.66091939730031E+017,8557,don,O
4.66091939730031E+017,8557,',O
4.66091939730031E+017,8557,t,O
4.66091939730031E+017,8557,wanna,O
4.66091939730031E+017,8557,be,O
4.66091939730031E+017,8557,blind,B-Symptom
4.66091939730031E+017,8557,from,O
4.66091939730031E+017,8557,the,O
4.66091939730031E+017,8557,shine,O
4.66091939730031E+017,8557,of,O
4.66091939730031E+017,8557,the,O
4.66091939730031E+017,8557,fame,O
4.66091939730031E+017,8557,",",O
4.66091939730031E+017,8557,or,O
4.66091939730031E+017,8557,be,O
4.66091939730031E+017,8557,broken,O
4.66091939730031E+017,8557,under,O
4.66091939730031E+017,8557,pressure,O
4.66091939730031E+017,8557,stuck,O
4.66091939730031E+017,8557,in,O
4.66091939730031E+017,8557,pain,B-Symptom
4.66091939730031E+017,8557,0,O
4.66091939730031E+017,8557,#,O
4.66091939730031E+017,8557,Lee,O
4.66095676883874E+017,8558,RT,O
4.66095676883874E+017,8558,@,O
4.66095676883874E+017,8558,DhesiBahaRaja,O
4.66095676883874E+017,8558,:,O
4.66095676883874E+017,8558,⚠,O
4.66095676883874E+017,8558,️,O
4.66095676883874E+017,8558,Important,O
4.66095676883874E+017,8558,Message,O
4.66095676883874E+017,8558,;,O
4.66095676883874E+017,8558,Malaysia,O
4.66095676883874E+017,8558,is,O
4.66095676883874E+017,8558,No,O
4.66095676883874E+017,8558,0,O
4.66095676883874E+017,8558,1,O
4.66095676883874E+017,8558,in,O
4.66095676883874E+017,8558,S,O
4.66095676883874E+017,8558,/,O
4.66095676883874E+017,8558,E,O
4.66095676883874E+017,8558,Asia,O
4.66095676883874E+017,8558,for,O
4.66095676883874E+017,8558,#,O
4.66095676883874E+017,8558,obesity,B-Disease
4.66095676883874E+017,8558,0,I-Disease
4.66095676883874E+017,8558,43,O
4.66095676883874E+017,8558,%,O
4.66095676883874E+017,8558,obese,B-Disease
4.66095676883874E+017,8558,adults,O
4.66095676883874E+017,8558,",",O
4.66095676883874E+017,8558,38,O
4.66095676883874E+017,8558,%,O
4.66095676883874E+017,8558,overweight,B-Disease
4.66095676883874E+017,8558,children,O
4.66095676883874E+017,8558,&,O
4.66095676883874E+017,8558,amp,O
4.66095676883874E+017,8558,;,O
4.66095676883874E+017,8558,60,O
4.66095676883874E+017,8558,%,O
4.66095676883874E+017,8558,aged,O
4.66095676883874E+017,8558,&,O
4.66095676883874E+017,8558,gt,O
4.66095676883874E+017,8558,;,O
4.66095676883874E+017,8558,18,O
4.66095676883874E+017,8558,…,O
4.66101221754163E+017,8559,Walking,O
4.66101221754163E+017,8559,to,O
4.66101221754163E+017,8559,work,O
4.66101221754163E+017,8559,cuts,O
4.66101221754163E+017,8559,risk,O
4.66101221754163E+017,8559,of,O
4.66101221754163E+017,8559,obesity,B-Disease
4.66101221754163E+017,8559,and,O
4.66101221754163E+017,8559,diabetes,B-Disease
4.66101221754163E+017,8559,0,O
4.66101221754163E+017,8559,http,O
